Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory
Motorola,Moto G4 Play,Motorola Moto G4 Play 16G,16,"'harpia','harpia_n','harpia_t'",3.99,,£149.00,http://www.pcadvisor.co.uk/new-product/mobile-phone/new-motorola-moto-g4-plus-moto-g4-play-2016-release-date-price-specs-uk-3601187/,Android,6.0.1,,1200,4,2048,Y,127,720 x 1280,8,Y,850 / 900 / 1800 / 1900 ,8/16,,http://www.gsmarena.com/motorola_moto_g4_play-8104.php,,,
Sony,Xperia X,Sony Xperia X 32G,32,"'F5121','F5122'",5.99,,£460.00,http://www.expertreviews.co.uk/sony/sony-xperia-x,Android,6.0.1,7.0,1400,6,3072,Y,127,1080 x 1920,23,Y,850 / 900 / 1800 / 1900 ,5/16,,http://www.gsmarena.com/sony_xperia_x-7948.php,,,
Sony,Xperia XA,Sony Xperia XA,16,"'F3111','F3112','F3113','F3115','F3116'",4.99,,£239.00,http://www.trustedreviews.com/sony-xperia-xa-review,Android,6.0.1,7.0,2000,8,2048,Y,127,720 x 1280,13,Y,850 / 900 / 1800 / 1900 ,6/16,,http://www.gsmarena.com/sony_xperia_xa-7950.php,,,
Sony,Xperia XA Ultra,Sony Xperia XA Ultra,16,"'F3211','F3212','F3213','F3215','F3216'",5.49,,£298.88,http://www.techtimes.com/articles/160617/20160524/sony-xperia-xa-ultra-hits-uk-price-specs-and-options.htm,Android,6.0.1,7.0,2000,8,3072,Y,152.4,1080 x 1920,21,Y,850 / 900 / 1800 / 1900 ,6/16,,http://www.gsmarena.com/sony_xperia_xa_ultra-8102.php,,,
Motorola,Moto Z,Motorola Moto Z 32G,32,'griffin',6.99,,£529.99,http://www.pcadvisor.co.uk/review/android-smartphones/motorola-moto-z-review-hands-on-with-new-moto-z-3645850/,Android,6.0.1,,2150,4,4096,Y,139.7,1440 x 2560,13,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/motorola_moto_z-8094.php,,,
Motorola,Moto Z,Motorola Moto Z 64G,64,'griffin',6.99,,£579.99,http://www.pcadvisor.co.uk/review/android-smartphones/motorola-moto-z-review-hands-on-with-new-moto-z-3645850/,Android,6.0.1,,2150,4,4096,Y,139.7,1440 x 2560,13,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/motorola_moto_z-8094.php,,,
Apple,iPhone 7,iPhone 7 32G,32,"'iPhone 7', 'iPhone9,1', 'iPhone9,3'",6.99,,£599.00,http://www.macworld.co.uk/review/iphone/iphone-7-review-hands-on-with-apples-new-iphone-7-3644880/,iOS,10,,2230,4,3072,N,119.38,750 x 1334,12,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/apple_iphone_7-8064.php,,,
Apple,iPhone 7,iPhone 7 128G,128,"'iPhone 7', 'iPhone9,1', 'iPhone9,3'",7.99,,£699.00,http://www.macworld.co.uk/review/iphone/iphone-7-review-hands-on-with-apples-new-iphone-7-3644880/,iOS,10,,2230,4,3072,N,119.38,750 x 1334,12,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/apple_iphone_7-8064.php,,,
Apple,iPhone 7,iPhone 7 256G,256,"'iPhone 7', 'iPhone9,1', 'iPhone9,3'",8.99,,£799.00,http://www.macworld.co.uk/review/iphone/iphone-7-review-hands-on-with-apples-new-iphone-7-3644880/,iOS,10,,2230,4,3072,N,119.38,750 x 1334,12,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/apple_iphone_7-8064.php,,,
Apple,iPhone 7 Plus,iPhone 7 Plus 32G,32,"'iPhone 7 Plus', 'iPhone9,2', 'iPhone9,4'",7.99,,£719.00,http://www.techradar.com/reviews/phones/mobile-phones/iphone-7-plus-1327948/review,iOS,10,,2230,4,3072,N,139.7,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/apple_iphone_7_plus-8065.php,,,
Apple,iPhone 7 Plus,iPhone 7 Plus 128G,128,"'iPhone 7 Plus', 'iPhone9,2', 'iPhone9,4'",7.99,,£819.00,http://www.techradar.com/reviews/phones/mobile-phones/iphone-7-plus-1327948/review,iOS,10,,2230,4,3072,N,139.7,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/apple_iphone_7_plus-8065.php,,,
Apple,iPhone 7 Plus,iPhone 7 Plus 256G,256,"'iPhone 7 Plus', 'iPhone9,2', 'iPhone9,4'",8.99,,£919.00,http://www.techradar.com/reviews/phones/mobile-phones/iphone-7-plus-1327948/review,iOS,10,,2230,4,3072,N,139.7,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,9/16,,http://www.gsmarena.com/apple_iphone_7_plus-8065.php,,,
