Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6,IPHONE 6 128G,128,"'iPhone 6', 'iPhone7,2'",7.14,£405.76,£699 ,http://www.alphr.com/apple/apple-iphone-6/25140/apple-iphone-6-and-6-plus-release-date-price-in-uk-and-new-features,iOS,8,9.3,1400,2,1024,N,119.38,750 x 1334,8,Y,850 / 900 / 1800 / 1900 ,9/14,,http://www.gsmarena.com/apple_iphone_6-6378.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6,IPHONE 6 16G,16,"'iPhone 6', 'iPhone7,2'",7.14,£310.13,£539,http://www.alphr.com/apple/apple-iphone-6/25140/apple-iphone-6-and-6-plus-release-date-price-in-uk-and-new-features,iOS,8,9.3,1400,2,1024,N,119.38,750 x 1334,8,Y,850 / 900 / 1800 / 1900 ,9/14,,http://www.gsmarena.com/apple_iphone_6-6378.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6,IPHONE 6 64G,64,"'iPhone 6', 'iPhone7,2'",7.14,£370.85,£619,http://www.alphr.com/apple/apple-iphone-6/25140/apple-iphone-6-and-6-plus-release-date-price-in-uk-and-new-features,iOS,8,9.3,1400,2,1024,N,119.38,750 x 1334,8,Y,850 / 900 / 1800 / 1900 ,9/14,,http://www.gsmarena.com/apple_iphone_6-6378.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6 Plus,IPHONE 6+ 128G,128,"'iPhone 6 Plus', 'iPhone7,1'",7.14,£472.68,£789,http://www.alphr.com/apple/apple-iphone-6/25140/apple-iphone-6-and-6-plus-release-date-price-in-uk-and-new-features,iOS,8,9.3,1400,2,1024,N,139.7,1080 x 1920,8,Y,850 / 900 / 1800 / 1900 ,9/14,,http://www.gsmarena.com/apple_iphone_6_plus-6665.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6 Plus,IPHONE 6+ 16G,16,"'iPhone 6 Plus', 'iPhone7,1'",7.14,£370.85,£619,http://www.alphr.com/apple/apple-iphone-6/25140/apple-iphone-6-and-6-plus-release-date-price-in-uk-and-new-features,iOS,8,9.3,1400,2,1024,N,139.7,1080 x 1920,8,Y,850 / 900 / 1800 / 1900 ,9/14,,http://www.gsmarena.com/apple_iphone_6_plus-6665.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6 Plus,IPHONE 6+ 64G,64,"'iPhone 6 Plus', 'iPhone7,1'",7.14,£405.76,£699,http://www.alphr.com/apple/apple-iphone-6/25140/apple-iphone-6-and-6-plus-release-date-price-in-uk-and-new-features,iOS,8,9.3,1400,2,1024,N,139.7,1080 x 1920,8,Y,850 / 900 / 1800 / 1900 ,9/14,,http://www.gsmarena.com/apple_iphone_6_plus-6665.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6S,IPHONE 6S 128G,128,"'iPhone 6s', 'iPhone8,1'",7.14,£490.29,£699,http://www.telegraph.co.uk/technology/apple/iphone/11854936/iPhone-6s-and-iPhone-6s-Plus-UK-price-and-release-date.html,iOS,9,9.3,1840,2,2048,N,119.38,750 x 1334,12,Y,850 / 900 / 1800 / 1900 ,9/15,,http://www.gsmarena.com/apple_iphone_6s-7242.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6S,IPHONE 6S 16G,16,"'iPhone 6s', 'iPhone8,1'",7.14,£371.49,£539,http://www.telegraph.co.uk/technology/apple/iphone/11854936/iPhone-6s-and-iPhone-6s-Plus-UK-price-and-release-date.html,iOS,9,9.3,1840,2,2048,N,119.38,750 x 1334,12,Y,850 / 900 / 1800 / 1900 ,9/15,,http://www.gsmarena.com/apple_iphone_6s-7242.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6S,IPHONE 6S 64G,64,"'iPhone 6s', 'iPhone8,1'",7.14,,£619,http://www.telegraph.co.uk/technology/apple/iphone/11854936/iPhone-6s-and-iPhone-6s-Plus-UK-price-and-release-date.html,iOS,9,9.3,1840,2,2048,N,119.38,750 x 1334,12,Y,850 / 900 / 1800 / 1900 ,9/15,,http://www.gsmarena.com/apple_iphone_6s-7242.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,iPhone 6S Plus,IPHONE 6S+ 128G,128,"'iPhone 6s Plus', 'iPhone8,2'",7.14,,£789,http://www.telegraph.co.uk/technology/apple/iphone/11854936/iPhone-6s-and-iPhone-6s-Plus-UK-price-and-release-date.html,iOS,9,9.3,1840,2,2048,N,139.7,1080 x 1920,12,Y,850 / 900 / 1800 / 1900 ,9/15,,http://www.gsmarena.com/apple_iphone_6s_plus-7243.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
